2022-08-10 16:46:43 UTC,1,2.77
2022-08-10 16:47:01 UTC,2,5.34
2022-08-10 16:47:20 UTC,3,6.65
2022-08-10 16:47:44 UTC,4,10.35
2022-08-10 16:48:02 UTC,5,14.5
2022-08-10 16:48:23 UTC,6,13.15
2022-08-10 16:48:42 UTC,7,15.59
2022-08-10 16:49:02 UTC,8,16.46
2022-08-10 16:49:23 UTC,9,17.56
2022-08-10 16:49:48 UTC,10,3.36
2022-08-10 16:50:08 UTC,11,24.15
2022-08-10 16:50:30 UTC,12,22.09
2022-08-10 16:50:50 UTC,13,19.17
2022-08-10 16:51:09 UTC,14,16.3
2022-08-10 16:51:33 UTC,15,14.58
2022-08-10 16:51:53 UTC,16,10.35
2022-08-10 16:52:12 UTC,17,10.36
2022-08-10 16:52:33 UTC,18,10.37
2022-08-10 16:52:52 UTC,19,10.37
2022-08-10 16:53:11 UTC,20,10.33
