3.61,3.95,4.22,4.42,4.72,4.63,5.32,5.47,5.74,5.47,6.08,6.23,6.54,6.9,6.8,7.03,7.16,7.42,7.55,7.44,Moving away slowly
1.44,1.99,2.21,2.03,2.57,2.76,2.97,3.06,2.8,2.98,3.04,3.23,3.37,3.52,3.68,3.83,3.97,4.11,4.32,4.77,Moving away slowly
1.82,1.43,2.01,2.08,2.08,2.17,2.19,2.23,2.34,2.06,2.62,2.65,2.36,2.46,2.97,2.6,2.66,3.26,3.34,3.46,Moving away slowly
3.21,3.21,3.37,3.38,3.5,3.61,3.76,3.37,4.01,4.02,3.74,4.35,7.91,4.51,5.96,4.57,4.61,4.69,4.83,4.98,Moving away slowly
3.92,3.65,4.4,4.4,4.54,4.24,4.78,4.95,4.54,5.1,5.32,5.39,5.05,5.61,5.76,5.43,5.94,6.61,5.8,6.39,Moving away slowly
3.72,4.34,4.49,4.57,4.27,4.83,4.93,4.65,5.15,5.43,5.48,5.57,5.69,5.86,5.48,6.05,3.92,6.2,6.06,5.91,Moving away slowly
4.76,4.91,4.59,5.19,5.32,5.02,6.17,5.45,5.94,6.59,6.24,6.3,6.39,6.52,6.73,6.75,6.93,6.68,7.24,7.29,Moving away slowly
4.15,4.24,4.26,4.39,4.47,7.14,4.05,4.67,4.22,4.74,4.82,4.95,4.56,3.58,4.62,5.15,5.27,5.33,5.3,4.97,Moving away slowly
3.25,3.89,4.93,5.77,6.62,8.37,10.01,10.53,12.37,14.16,15.5,17.02,18.69,21.29,23.5,26.46,28.7,30.77,32.85,34.65,Moving away fast
3.04,3.9,4.98,5.49,7.81,9.1,10.56,12.45,13.71,16.16,21.51,24.76,28.25,32.34,35.76,73.42,40.7,40.93,81.55,80.8,Moving away fast
3.25,3.94,4.16,5.32,6.45,7.51,7.74,8.91,10.5,11.6,13.07,14.32,17.07,16.54,20.06,21.13,23.48,24.32,25.74,27.32,Moving away fast
4.07,4.53,5.45,6.44,7.93,9.34,10.12,11.38,13.53,14.02,16.03,20.34,20.99,20.94,23.33,25.46,26.37,27.23,28.78,30.5,Moving away fast
3.78,4.24,4.22,5.13,4.97,5.89,6.95,7.29,7.87,8.3,8.75,9.17,9.6,11.2,12.97,13.4,12.62,13.76,13.96,15.44,Moving away fast
4,4.39,4.94,4.56,6.56,6.78,7.72,9.33,11.04,10.07,13.6,12.73,15.73,20.22,22.42,24.26,26.09,27.43,28.91,29.88,Moving away fast
2.89,2.91,3.84,4.13,4.88,6.27,6.66,8.64,10.58,14,14.23,16.29,18.27,22.95,27.58,31.93,34.96,35.28,35.8,70.89,Moving away fast
2.47,3.45,4.3,6.09,7.29,9.14,9.67,12.6,13.17,15.24,16.53,18.27,24.1,26.25,28.16,34.15,36.53,38.52,69.45,73.44,Moving away fast
4.64,5.41,6.69,7.79,8.75,9.73,12.59,13.86,14.74,16.11,17.75,20.46,24.88,27.42,30.07,32.61,35.74,40.7,42.22,44.88,Moving away fast
